mode,#e,M,gates,gate_spec,coupling
normal,0,8,"[[(13, 14)], [(14, 15), (13, 17)], [(15, 16), (13, 14)], [(9, 15), (12, 13)], [(6, 9), (15, 16), (13, 17)], [(9, 15)], [(14, 15), (6, 9)], [(13, 14)]]","[[' ZZ'], [' ZZ', ' swap ZZ'], [' ZZ', ' swap'], [' ZZ', ' swap ZZ'], [' swap ZZ', ' swap', ' ZZ'], [' ZZ swap'], [' ZZ', ' ZZ'], [' ZZ']]",[]
normal,1,8,"[[(5, 6)], [(5, 14), (6, 7)], [(13, 14), (4, 5)], [(14, 15), (5, 6)], [(13, 14), (9, 15), (6, 7)], [(14, 15)], [(9, 15)], [(6, 9), (14, 15)], [(5, 6)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[5, 14]]"
normal,2,8,"[[(5, 13)], [(5, 6), (13, 17)], [(6, 9), (5, 13)], [(6, 14), (12, 13)], [(14, 15), (5, 6), (13, 17)], [(6, 14), (9, 15)], [(14, 15), (6, 9)], [(13, 14)]]","[[' ZZ'], [' ZZ', ' swap ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[5, 13], [6, 14]]"
normal,3,8,"[[(5, 6)], [(4, 5), (6, 7)], [(5, 15), (3, 4)], [(9, 15), (4, 13)], [(3, 4), (5, 13), (6, 9)], [(4, 5), (6, 7)], [(5, 6), (4, 13)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 13], [5, 13], [5, 15]]"
normal,4,8,"[[(3, 13)], [(2, 3), (12, 13)], [(3, 4), (13, 17), (2, 8)], [(4, 13), (2, 3)], [(3, 11), (13, 17)], [(8, 11)], [(11, 12), (3, 8)], [(12, 13)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[3, 8], [3, 13], [4, 13], [3, 11]]"
normal,5,8,"[[(15, 16)], [(14, 15), (9, 16)], [(6, 9), (13, 14)], [(9, 15), (4, 14)], [(4, 5), (13, 14), (9, 16)], [(5, 14)], [(5, 6), (4, 14)], [(6, 9)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 14], [5, 14], [9, 14], [0, 5], [9, 16]]"
normal,6,8,"[[(5, 6)], [(4, 5), (6, 14)], [(6, 7), (4, 12)], [(5, 6), (4, 13)], [(13, 17), (6, 7)], [(12, 17)], [(14, 17), (12, 13)], [(6, 14)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [4, 14], [6, 14], [12, 17], [14, 17]]"
normal,7,8,"[[(12, 13)], [(4, 12), (13, 14)], [(3, 4), (12, 17)], [(0, 4), (13, 17)], [(3, 4), (0, 5)], [(4, 5)], [(5, 14), (0, 4)], [(14, 17)]]","[[' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 12], [4, 13], [5, 13], [5, 14], [0, 5], [12, 17], [14, 17]]"
