compiler,#e,M,#gates,gate_spec,coupling
sabre_basic,0,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [[(5, 6)]], [(6,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], [['swap']], ['v5'], [['U4']], ['m'], ['v6'], []]",[]
sabre_lookahead,0,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]",[]
sabre_decay,0,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]",[]
sabre_basic,1,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [[(5, 6)]], [(6,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], [['swap']], ['v5'], [['U4']], ['m'], ['v6'], []]","[[9, 14]]"
sabre_lookahead,1,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]","[[9, 14]]"
sabre_decay,1,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]","[[9, 14]]"
sabre_basic,2,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [[(5, 6)]], [(6,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], [['swap']], ['v5'], [['U4']], ['m'], ['v6'], []]","[[11, 14], [4, 9]]"
sabre_lookahead,2,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]","[[11, 14], [4, 9]]"
sabre_decay,2,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(1, 5)], [(1, 2)], [(2, 3)], [(3,)], [(7,)], [(0,)], [(1,)], [[(0, 1)]], [(2,)], [(6,)], [(2, 6)], [(1, 2)], [(1,)], [(6,)], [(0,)], [(2,)], [(1, 2)], [(0, 1)], [(1,)], [(0,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], [' swap'], [' U4'], ['m'], ['m'], ['v0'], ['v1'], [['U4']], ['v2'], ['v3'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], ['v5'], [' swap'], [' U4'], ['m'], ['v6'], []]","[[11, 14], [4, 9]]"
sabre_basic,3,8,"[[(0, 1), (2, 3)], [(1, 2)], [(1,)], [(4, 5), (6, 7)], [(5, 6)], [(5,)], [(4, 5)], [(5, 6)], [(7,)], [(3, 7)], [(6, 7)], [(7,)], [(0,)], [[(0, 1)]], [(2,)], [[(1, 2)]], [(5,)], [(6,)], [(5, 6)], [(2, 6)], [(2,)], [(5,)], [(1,)], [[(1, 5)]], [(6,)], [[(5, 6)]], [(6,)], [(5,)], []]","[[' U4', ' U4'], [' U4'], ['m'], [' U4', ' U4'], [' U4'], ['m'], [' swap'], [' swap'], ['m'], [' swap'], [' U4'], ['m'], ['v0'], [['swap']], ['v1'], [['U4']], ['v3'], ['v2'], [' U4'], [' U4'], ['m'], ['m'], ['v4'], [['swap']], ['v5'], [['U4']], ['m'], ['v6'], []]","[[11, 14], [10, 13], [6, 11]]"
