#e,compiler,fidelity no crosstalk,fidelity,g1,g2,D,avg idling time,idling time,qubit lifetime,avg two qubit gate fidelity,two qubit gate fidelity,gates,gate_spec
9,transition,0.6534600791583003,0.4612949421629329,36,33,395,255.0,"[260, 300, 260, 50, 290, 280, 260, 280, 290, 280]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9806363636363638,"[0.991, 0.991, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (13, 17), [13], [17], (13, 17), (0, 5), [0], [5], (0, 5), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), (5, 15), [5], [15], (5, 15), (3, 12), [3], [12], (3, 12), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (14, 17), [14], [17], (14, 17), (0, 3), [0], [3], (0, 3), (0, 5), [0], [5], (0, 5), (5, 14), [5], [14], (5, 14), (5, 15), [5], [15], (5, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
9,normal,0.6534600791583003,0.4612949421629329,36,33,395,255.0,"[260, 300, 260, 50, 290, 280, 260, 280, 290, 280]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9806363636363638,"[0.991, 0.991, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9850000000000001, 0.9805, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (12, 13), [12], [13], (12, 13), (4, 5), [4], [5], (4, 5), (13, 17), [13], [17], (13, 17), (3, 4), [3], [4], (3, 4), (0, 5), [0], [5], (0, 5), (12, 17), [12], [17], (12, 17), (5, 15), [5], [15], (5, 15), (3, 12), [3], [12], (3, 12), (5, 6), [5], [6], (5, 6), [5], [6], (5, 6), [5], [6], (14, 17), [14], [17], (14, 17), (0, 3), [0], [3], (0, 3), (0, 5), [0], [5], (0, 5), (5, 14), [5], [14], (5, 14), (5, 15), [5], [15], (5, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,transition,0.6373867027776656,0.46045952054276096,42,36,395,232.0,"[290, 290, 50, 260, 290, 280, 280, 30, 290, 260]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9821111111111107,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.9750000000000001, 0.9705, 0.9795000000000001, 0.9705, 0.9705, 0.9750000000000001, 0.9750000000000001, 0.9705, 0.9795000000000001, 0.9705, 0.9705, 0.9750000000000001, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986]","[(14, 17), [14], [17], (14, 17), (4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (6, 14), [6], [14], (6, 14), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (3, 4), [3], [4], (3, 4), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (13, 17), [13], [17], (13, 17), (13, 14), [13], [14], (13, 14), (6, 14), [6], [14], (6, 14), (12, 13), [12], [13], (12, 13), (5, 6), [5], [6], (5, 6), (4, 5), [4], [5], (4, 5), (4, 12), [4], [12], (4, 12), (3, 4), [3], [4], (3, 4), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
5,normal,0.6380738298059863,0.4813164916901432,42,36,395,229.0,"[290, 260, 50, 280, 260, 270, 280, 30, 290, 280]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9832777777777775,"[0.991, 0.991, 0.9800000000000001, 0.9755, 0.9800000000000001, 0.9800000000000001, 0.9755, 0.9800000000000001, 0.9755, 0.9800000000000001, 0.9800000000000001, 0.9755, 0.981, 0.981, 0.981, 0.981, 0.981, 0.981, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986]","[(6, 14), [6], [14], (6, 14), (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (13, 14), [13], [14], (13, 14), (4, 5), [4], [5], (4, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (13, 17), [13], [17], (13, 17), (6, 14), [6], [14], (6, 14), (12, 13), [12], [13], (12, 13), (14, 17), [14], [17], (14, 17), (4, 14), [4], [14], (4, 14), (3, 4), [3], [4], (3, 4), (0, 4), [0], [4], (0, 4), [0], [4], (0, 4), [0], [4], (3, 12), [3], [12], (3, 12), (4, 5), [4], [5], (4, 5), (3, 4), [3], [4], (3, 4), (4, 12), [4], [12], (4, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,transition,0.6156001389210083,0.48800230408972817,48,37,470,287.0,"[355, 355, 140, 320, 365, 365, 125, 170, 340, 335]","[470, 470, 470, 470, 470, 470, 470, 470, 470, 470]",0.9848108108108107,"[0.991, 0.991, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.976, 0.976, 0.9805, 0.9805, 0.991, 0.976, 0.976, 0.9805, 0.9805, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.9905, 0.9905, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.981, 0.981, 0.981, 0.986, 0.986, 0.991, 0.991]","[(4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (12, 17), [12], [17], (12, 17), (3, 4), [3], [4], (3, 4), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (8, 12), [8], [12], (8, 12), (3, 4), [3], [4], (3, 4), (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (4, 13), [4], [13], (4, 13), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), (12, 17), [12], [17], (12, 17), (2, 12), [2], [12], (2, 12), (8, 12), [8], [12], (8, 12), (2, 8), [2], [8], (2, 8)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
4,normal,0.6147244896525402,0.4597517613259185,48,37,470,291.0,"[355, 355, 150, 320, 365, 340, 170, 180, 340, 335]","[470, 470, 470, 470, 470, 470, 470, 470, 470, 470]",0.9832702702702703,"[0.991, 0.991, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.971, 0.971, 0.9800000000000001, 0.9755, 0.9755, 0.991, 0.971, 0.971, 0.9800000000000001, 0.9755, 0.9755, 0.986, 0.986, 0.991, 0.986, 0.986, 0.991, 0.991, 0.991, 0.986, 0.986, 0.991, 0.986, 0.986, 0.981, 0.981, 0.981, 0.986, 0.986]","[(4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (12, 13), [12], [13], (12, 13), (3, 4), [3], [4], (3, 4), (12, 17), [12], [17], (12, 17), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (11, 12), [11], [12], (11, 12), [11], [12], (11, 12), [11], [12], (3, 4), [3], [4], (3, 4), (8, 11), [8], [11], (8, 11), (4, 13), [4], [13], (4, 13), (2, 3), [2], [3], (2, 3), (13, 17), [13], [17], (13, 17), (12, 17), [12], [17], (12, 17), (2, 12), [2], [12], (2, 12), (8, 12), [8], [12], (8, 12), (2, 8), [2], [8], (2, 8)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
8,transition,0.6539257580747184,0.4368006684635563,36,33,395,253.0,"[280, 280, 260, 280, 280, 300, 270, 30, 290, 260]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9790000000000001,"[0.991, 0.991, 0.9805, 0.976, 0.976, 0.9805, 0.9805, 0.976, 0.976, 0.9805, 0.9655, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9655, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), (6, 14), [6], [14], (6, 14), (0, 5), [0], [5], (0, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (0, 3), [0], [3], (0, 3), (6, 14), [6], [14], (6, 14), (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), (3, 13), [3], [13], (3, 13), (12, 13), [12], [13], (12, 13), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
8,normal,0.6539257580747184,0.4368006684635563,36,33,395,253.0,"[280, 280, 260, 280, 280, 300, 270, 30, 290, 260]","[395, 395, 395, 395, 395, 395, 395, 395, 395, 395]",0.9790000000000001,"[0.991, 0.991, 0.9805, 0.976, 0.976, 0.9805, 0.9805, 0.976, 0.976, 0.9805, 0.9655, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.9655, 0.9700000000000001, 0.9700000000000001, 0.9745000000000001, 0.9700000000000001, 0.9700000000000001, 0.9700000000000001, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991]","[(4, 14), [4], [14], (4, 14), (4, 5), [4], [5], (4, 5), (14, 17), [14], [17], (14, 17), (0, 4), [0], [4], (0, 4), (6, 14), [6], [14], (6, 14), (0, 5), [0], [5], (0, 5), (14, 15), [14], [15], (14, 15), [14], [15], (14, 15), [14], [15], (14, 17), [14], [17], (14, 17), (5, 6), [5], [6], (5, 6), (0, 3), [0], [3], (0, 3), (6, 14), [6], [14], (6, 14), (12, 17), [12], [17], (12, 17), (13, 14), [13], [14], (13, 14), (3, 13), [3], [13], (3, 13), (12, 13), [12], [13], (12, 13), (3, 12), [3], [12], (3, 12)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,transition,0.6054701913446155,0.4873887598206281,54,40,440,241.0,"[310, 290, 120, 150, 160, 290, 185, 325, 305, 275]","[440, 440, 440, 440, 440, 440, 440, 440, 440, 440]",0.98565,"[0.991, 0.991, 0.9855, 0.976, 0.9805, 0.981, 0.9855, 0.976, 0.9805, 0.981, 0.9855, 0.9855, 0.981, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.981, 0.981, 0.981, 0.986, 0.986]","[(4, 5), [4], [5], (4, 5), (3, 4), [3], [4], (3, 4), (5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), (4, 13), [4], [13], (4, 13), [0], [5], (0, 5), [0], [5], (0, 5), [0], [5], (0, 5), [0], [5], (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (6, 9), [6], [9], (6, 9), (4, 13), [4], [13], (4, 13), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (4, 5), [4], [5], (4, 5), (13, 14), [13], [14], (13, 14), (5, 6), [5], [6], (5, 6), (6, 9), [6], [9], (6, 9), (9, 14), [9], [14], (9, 14), (9, 15), [9], [15], (9, 15), (14, 15), [14], [15], (14, 15)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
3,normal,0.5798363712036756,0.43367012820369993,54,42,515,311.0,"[400, 410, 190, 400, 400, 185, 410, 120, 230, 365]","[515, 515, 515, 515, 515, 515, 515, 515, 515, 515]",0.9841904761904762,"[0.991, 0.991, 0.986, 0.986, 0.986, 0.986, 0.971, 0.9755, 0.971, 0.9800000000000001, 0.9755, 0.991, 0.971, 0.9755, 0.971, 0.9800000000000001, 0.9755, 0.986, 0.986, 0.981, 0.986, 0.986, 0.981, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.991, 0.9855, 0.9855, 0.981, 0.9855, 0.9855, 0.981, 0.986, 0.986, 0.986, 0.986, 0.991, 0.991]","[(9, 14), [9], [14], (9, 14), (9, 15), [9], [15], (9, 15), (13, 14), [13], [14], (13, 14), [13], [14], (13, 14), [13], [14], (6, 9), [6], [9], (6, 9), (4, 13), [4], [13], (4, 13), (9, 15), [9], [15], (9, 15), [9], [15], (9, 15), [9], [15], (13, 14), [13], [14], (13, 14), (6, 9), [6], [9], (6, 9), (12, 13), [12], [13], (12, 13), [12], [13], (12, 13), [12], [13], (4, 13), [4], [13], (4, 13), (9, 14), [9], [14], (9, 14), (5, 6), [5], [6], (5, 6), (0, 4), [0], [4], (0, 4), (13, 14), [13], [14], (13, 14), (3, 4), [3], [4], (3, 4), [3], [4], (3, 4), [3], [4], (4, 13), [4], [13], (4, 13), (4, 5), [4], [5], (4, 5), (0, 4), [0], [4], (0, 4), (0, 5), [0], [5], (0, 5)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
2,transition,0.6054701913446157,0.48738875982062824,54,40,440,241.0,"[310, 150, 160, 290, 185, 120, 325, 305, 275, 290]","[440, 440, 440, 440, 440, 440, 440, 440, 440, 440]",0.98565,"[0.991, 0.991, 0.976, 0.9805, 0.981, 0.9855, 0.976, 0.9805, 0.981, 0.9855, 0.9855, 0.9855, 0.981, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.981, 0.981, 0.981, 0.986, 0.986]","[(5, 13), [5], [13], (5, 13), (13, 17), [13], [17], (13, 17), (5, 6), [5], [6], (5, 6), (6, 7), [6], [7], (6, 7), (13, 14), [13], [14], (13, 14), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (13, 17), [13], [17], (13, 17), [13], [17], (13, 17), [13], [17], (6, 9), [6], [9], (6, 9), (13, 14), [13], [14], (13, 14), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (9, 16), [9], [16], (9, 16), [9], [16], (9, 16), [9], [16], (5, 13), [5], [13], (5, 13), (14, 15), [14], [15], (14, 15), (5, 6), [5], [6], (5, 6), (6, 9), [6], [9], (6, 9), (9, 15), [9], [15], (9, 15), (9, 16), [9], [16], (9, 16), (15, 16), [15], [16], (15, 16)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
2,normal,0.6054701913446157,0.48738875982062824,54,40,440,241.0,"[310, 150, 160, 290, 185, 120, 325, 305, 275, 290]","[440, 440, 440, 440, 440, 440, 440, 440, 440, 440]",0.98565,"[0.991, 0.991, 0.976, 0.9805, 0.981, 0.9855, 0.976, 0.9805, 0.981, 0.9855, 0.9855, 0.9855, 0.981, 0.9905, 0.9905, 0.9855, 0.9855, 0.981, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.981, 0.9850000000000001, 0.9850000000000001, 0.9900000000000001, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.991, 0.9905, 0.9905, 0.981, 0.981, 0.981, 0.986, 0.986]","[(5, 13), [5], [13], (5, 13), (13, 17), [13], [17], (13, 17), (5, 6), [5], [6], (5, 6), (13, 14), [13], [14], (13, 14), (6, 7), [6], [7], (6, 7), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (4, 5), [4], [5], (13, 17), [13], [17], (13, 17), [13], [17], (13, 17), [13], [17], (6, 9), [6], [9], (6, 9), (13, 14), [13], [14], (13, 14), (6, 7), [6], [7], (6, 7), [6], [7], (6, 7), [6], [7], (9, 16), [9], [16], (9, 16), [9], [16], (9, 16), [9], [16], (5, 13), [5], [13], (5, 13), (14, 15), [14], [15], (14, 15), (5, 6), [5], [6], (5, 6), (6, 9), [6], [9], (6, 9), (9, 15), [9], [15], (9, 15), (9, 16), [9], [16], (9, 16), (15, 16), [15], [16], (15, 16)]","['syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc', 'syc', 'sg', 'sg', 'syc']"
