compiler,#e,M,#gates,gate_spec,coupling
sabre_lookahead,8,10,"[[(4, 5), (6, 7)], [(3, 4)], [(3, 8)], [(3, 4)], [(4, 5)], [(5, 6)], [(0, 5), (6, 9)], [(0, 3), (6, 7)], [(3, 8), (6, 9)], [(2, 3), (5, 6)], [(3, 4), (0, 5)], [(3, 8), (5, 6)], [(0, 3), (6, 7)], [(0, 5)], [(0, 3), (5, 6)], [(2, 3), (6, 7)], [(1, 2)], [(2, 3)], [(1, 2), (0, 3)], [(0, 5), (2, 3)], [(5, 6)], [(0, 5)], [(0, 3)]]","[[' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ swap'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ', ' swap'], [' swap'], [' swap'], [' swap', ' swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' ZZ']]","[[3, 8], [4, 12], [5, 14], [3, 11], [0, 3], [0, 5], [12, 17], [14, 17]]"
sabre_decay,8,10,"[[(4, 5), (6, 7)], [(3, 4)], [(3, 8)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(0, 5), (2, 3), (6, 9)], [(0, 3), (6, 7)], [(3, 8), (6, 9)], [(5, 6), (2, 8)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 7)], [(1, 2)], [(2, 3)], [(0, 3)], [(0, 5)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)]]","[[' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' ZZ', ' ZZ'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ', ' ZZ'], [' ZZ swap'], [' swap', ' swap'], [' ZZ', ' ZZ', ' ZZ'], [' swap'], [' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ']]","[[3, 8], [4, 12], [5, 14], [3, 11], [0, 3], [0, 5], [12, 17], [14, 17]]"
sabre_basic,3,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3), (4, 5)], [(3, 4)], [(2, 3), (4, 5)], [(5, 6), (2, 8)], [(6, 9), (0, 5)], [(6, 7)], [(5, 6)], [(6, 9)], [(5, 6), (9, 15)], [(4, 5), (6, 7)], [(5, 6)], [(4, 5)], [(3, 4)], [(2, 3), (0, 4)], [(1, 2), (3, 4), (0, 5)], [(2, 3), (5, 15)], [(2, 8)], [(2, 3)], [(3, 4), (1, 2)], [(4, 5)], [(0, 4), (5, 6)], [(3, 4)], [(2, 3)], [(3, 4)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' ZZ', ' swap'], [' swap'], [' ZZ'], [' swap'], [' swap', ' ZZ'], [' ZZ', ' swap', ' swap'], [' swap', ' ZZ'], [' ZZ swap'], [' swap'], [' swap', ' swap'], [' swap'], [' swap', ' ZZ'], [' swap'], [' ZZ swap'], [' swap'], [' ZZ']]","[[4, 13], [5, 15], [0, 5]]"
sabre_lookahead,3,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(2, 8), (3, 4), (6, 7)], [(2, 3), (6, 9)], [(1, 2), (5, 6)], [(0, 5), (2, 3)], [(4, 5)], [(0, 5), (3, 4)], [(5, 6)], [(4, 5), (6, 7)], [(3, 4), (5, 6)], [(2, 3), (6, 7)], [(5, 6), (1, 2)], [(4, 5)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' swap'], [' ZZ'], [' swap', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' ZZ']]","[[4, 13], [5, 15], [0, 5]]"
sabre_decay,3,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(2, 8), (3, 4), (6, 7)], [(2, 3), (6, 9)], [(1, 2), (5, 6)], [(2, 3), (0, 5)], [(4, 5), (1, 2)], [(5, 6), (3, 4)], [(0, 5), (6, 7)], [(5, 6)], [(4, 5)], [(5, 6)], [(4, 5)], [(3, 4)], [(0, 4)], [(3, 4)], [(2, 3)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ swap', ' ZZ', ' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' swap', ' swap'], [' ZZ', ' swap'], [' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' swap'], [' ZZ']]","[[4, 13], [5, 15], [0, 5]]"
sabre_basic,2,10,"[[(8, 11)], [(11, 12)], [(4, 12)], [(4, 5)], [(4, 12)], [(3, 4), (12, 13)], [(13, 14), (0, 4), (2, 3)], [(14, 15)], [(9, 15)], [(6, 9)], [(5, 6), (9, 15)], [(4, 5), (6, 7)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4), (6, 9)], [(5, 6), (2, 3)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (6, 7)], [(3, 4), (1, 2)], [(0, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5)], [(1, 2), (3, 4)], [(2, 3)]]","[[' swap'], [' swap'], [' swap'], [' ZZ swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap', ' ZZ'], [' ZZ', ' ZZ'], [' ZZ swap', ' swap'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ', ' ZZ'], [' swap'], [' swap', ' swap'], [' swap', ' swap'], [' swap', ' ZZ'], [' ZZ'], [' swap'], [' swap', ' swap'], [' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ']]","[[4, 12], [5, 14]]"
sabre_lookahead,2,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(6, 9), (0, 4), (2, 3)], [(5, 6)], [(4, 5)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap', ' swap', ' ZZ'], [' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[4, 12], [5, 14]]"
sabre_decay,2,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(2, 3), (6, 9), (0, 4)], [(1, 2), (5, 6)], [(4, 5), (2, 3)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' ZZ', ' swap', ' swap'], [' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[4, 12], [5, 14]]"
sabre_basic,1,10,"[[(4, 5), (2, 8)], [(3, 4)], [(2, 3), (4, 5)], [(3, 4)], [(2, 3), (4, 5)], [(5, 6), (3, 4), (2, 8)], [(6, 9)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5), (6, 9)], [(3, 4), (5, 6)], [(2, 3), (4, 5)], [(0, 4), (2, 8)], [(4, 5)], [(5, 6), (0, 4)], [(6, 9)], [(5, 6)], [(4, 5), (6, 9)], [(3, 4)], [(2, 3)], [(3, 4), (1, 2)], [(0, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3)], [(3, 4)], [(4, 5)]]","[[' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' swap'], [' ZZ', ' swap'], [' swap', ' swap'], [' swap', ' swap'], [' ZZ', ' ZZ swap'], [' swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ', ' swap'], [' swap'], [' swap'], [' swap', ' ZZ swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ swap'], [' swap'], [' ZZ']]","[[3, 12]]"
sabre_lookahead,1,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(6, 9), (0, 4), (2, 3)], [(5, 6)], [(4, 5)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap', ' swap', ' ZZ'], [' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 12]]"
sabre_decay,1,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(2, 3), (6, 9), (0, 4)], [(1, 2), (5, 6)], [(4, 5), (2, 3)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' ZZ', ' swap', ' swap'], [' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]","[[3, 12]]"
sabre_basic,0,10,"[[(4, 5), (2, 8)], [(3, 4)], [(2, 3), (4, 5)], [(3, 4)], [(2, 3), (4, 5)], [(5, 6), (3, 4), (2, 8)], [(6, 9)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5), (6, 9)], [(3, 4), (5, 6)], [(2, 3), (4, 5)], [(0, 4), (2, 8)], [(4, 5)], [(5, 6), (0, 4)], [(6, 9)], [(5, 6)], [(4, 5), (6, 9)], [(3, 4)], [(2, 3)], [(3, 4), (1, 2)], [(0, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3)], [(3, 4)], [(4, 5)]]","[[' swap', ' swap'], [' swap'], [' ZZ', ' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ'], [' ZZ'], [' swap'], [' swap'], [' ZZ', ' swap'], [' swap', ' swap'], [' swap', ' swap'], [' ZZ', ' ZZ swap'], [' swap'], [' ZZ', ' ZZ'], [' swap'], [' swap'], [' ZZ', ' swap'], [' swap'], [' swap'], [' swap', ' ZZ swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' ZZ swap'], [' swap'], [' ZZ']]",[]
sabre_lookahead,0,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(6, 9), (0, 4), (2, 3)], [(5, 6)], [(4, 5)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4)], [(2, 3)], [(1, 2)], [(2, 3)], [(3, 4)], [(4, 5)], [(5, 6)], [(6, 7)], [(5, 6)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' swap', ' swap', ' ZZ'], [' swap'], [' ZZ swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap'], [' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]",[]
sabre_decay,0,10,"[[(4, 5), (2, 8), (6, 7)], [(3, 4)], [(2, 3)], [(3, 4)], [(4, 5)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 9)], [(3, 4), (2, 8), (6, 7)], [(2, 3), (6, 9), (0, 4)], [(1, 2), (5, 6)], [(4, 5), (2, 3)], [(0, 4), (5, 6)], [(4, 5), (6, 7)], [(3, 4), (5, 6)], [(2, 3), (4, 5), (6, 7)], [(5, 6), (1, 2)], [(4, 5)], [(0, 4)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ'], [' swap', ' swap'], [' swap', ' swap', ' ZZ'], [' ZZ', ' ZZ swap', ' ZZ'], [' ZZ', ' swap', ' swap'], [' swap', ' swap'], [' ZZ swap', ' swap'], [' ZZ', ' ZZ'], [' swap', ' ZZ'], [' swap', ' swap'], [' swap', ' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ'], [' ZZ']]",[]
sabre_basic,7,10,"[[(8, 11), (4, 5), (6, 7)], [(3, 11)], [(3, 4)], [(4, 5)], [(3, 4)], [(4, 5), (2, 3)], [(5, 6), (4, 14)], [(0, 5), (9, 14)], [(0, 3), (5, 6)], [(3, 11), (6, 9)], [(0, 3), (5, 6)], [(0, 5), (3, 11), (6, 9)], [(6, 14), (0, 3)], [(6, 7)], [(5, 6)], [(6, 7)], [(6, 14)], [(13, 14), (6, 7)], [(3, 13), (6, 14)], [(2, 3), (4, 14), (6, 7)], [(1, 2), (6, 14)], [(2, 3)], [(3, 4)], [(3, 13)], [(13, 14)]]","[[' swap', ' swap', ' swap'], [' swap'], [' ZZ'], [' ZZ'], [' swap'], [' swap', ' ZZ swap'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' ZZ', ' swap'], [' swap', ' ZZ'], [' swap', ' swap'], [' ZZ swap', ' swap', ' ZZ'], [' swap', ' ZZ'], [' ZZ'], [' swap'], [' ZZ'], [' swap'], [' swap', ' swap'], [' swap', ' swap'], [' swap', ' swap', ' swap'], [' ZZ swap', ' swap'], [' swap'], [' ZZ'], [' swap'], [' ZZ']]","[[3, 13], [4, 14], [6, 14], [3, 11], [9, 14], [0, 3], [0, 5]]"
